municipio_escola;municipio_prova;uf_prova;nota_ciencias_natureza;nota_ciencias_humanas;nota_linguagens_codigos;nota_matematica;nota_redacao
Valinhos;Campinas;SP;763.3;710.5;614.3;844.1;800.0
Valinhos;Vinhedo;SP;638.6;662.3;635.2;746.6;760.0
Valinhos;Campinas;SP;649.1;706.6;595.4;762.7;920.0
Valinhos;Valinhos;SP;634.1;601.5;592.1;693.5;780.0
Valinhos;Vinhedo;SP;633.1;591.0;624.1;758.2;880.0
Valinhos;Campinas;SP;;627.4;604.2;;720.0
Valinhos;Indaiatuba;SP;701.2;689.2;651.0;799.5;920.0
Valinhos;Jundiaí;SP;672.8;642.7;636.8;860.3;760.0
Valinhos;Campinas;SP;695.6;624.3;671.2;809.4;880.0
Valinhos;Vinhedo;SP;674.4;633.1;633.3;817.4;820.0
Valinhos;Valinhos;SP;718.0;692.8;720.8;852.9;760.0
Valinhos;Valinhos;SP;572.2;599.8;599.9;730.6;940.0
Valinhos;Valinhos;SP;659.3;637.1;670.2;777.0;820.0
Valinhos;Vinhedo;SP;671.9;673.0;630.3;868.9;940.0
Valinhos;Campinas;SP;735.6;728.5;639.4;945.1;920.0
Valinhos;Vinhedo;SP;665.6;689.0;650.3;774.5;840.0
Valinhos;Vinhedo;SP;659.5;685.6;639.3;770.1;920.0
Valinhos;Jundiaí;SP;689.0;679.5;685.2;783.6;960.0
Valinhos;Indaiatuba;SP;607.7;601.0;611.5;719.3;940.0
Valinhos;Valinhos;SP;614.2;543.0;540.1;618.0;640.0
Valinhos;Valinhos;SP;;;;;
Valinhos;Campinas;SP;731.6;668.1;614.5;935.0;860.0
Valinhos;Jundiaí;SP;613.4;601.6;536.3;715.0;720.0
Valinhos;Vinhedo;SP;667.0;680.4;609.1;812.2;880.0
Valinhos;Campinas;SP;648.7;594.2;587.6;830.5;800.0
Valinhos;Campinas;SP;694.2;697.4;599.2;887.3;880.0
Valinhos;Jundiaí;SP;661.7;668.0;577.9;812.7;900.0
Valinhos;Valinhos;SP;629.7;650.3;593.5;753.7;920.0
Valinhos;Valinhos;SP;666.8;653.0;626.4;789.8;900.0
Valinhos;Valinhos;SP;675.0;684.7;647.2;851.0;940.0
Valinhos;Jundiaí;SP;674.0;657.9;620.1;760.1;900.0
Valinhos;Campinas;SP;636.9;633.2;634.8;784.6;920.0
Valinhos;Vinhedo;SP;625.7;655.7;622.8;803.1;860.0
Valinhos;Campinas;SP;739.8;709.2;646.4;851.2;800.0
Valinhos;Valinhos;SP;654.1;673.6;631.3;817.1;960.0
Valinhos;Vinhedo;SP;650.9;638.4;611.4;853.0;800.0
Valinhos;Valinhos;SP;577.2;600.4;594.4;646.8;760.0
