municipio_escola;municipio_prova;uf_prova;nota_ciencias_natureza;nota_ciencias_humanas;nota_linguagens_codigos;nota_matematica;nota_redacao
Ribeirão Preto;Ribeirão Preto;SP;544.5;538.1;544.1;664.5;700.0
Ribeirão Preto;Jardinópolis;SP;568.3;642.7;564.2;730.3;840.0
Ribeirão Preto;Ribeirão Preto;SP;553.0;622.2;646.4;641.3;720.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;624.0;604.4;571.1;586.3;820.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;399.5;393.1;458.7;436.5;500.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;551.3;549.5;577.6;555.5;600.0
Ribeirão Preto;Ribeirão Preto;SP;572.2;465.7;513.1;386.9;560.0
Ribeirão Preto;Ribeirão Preto;SP;440.6;386.3;438.2;465.0;720.0
Ribeirão Preto;Ribeirão Preto;SP;382.4;418.6;450.8;477.9;660.0
Ribeirão Preto;Ribeirão Preto;SP;462.3;466.7;458.6;406.9;420.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;411.5;446.3;488.8;474.0;640.0
Ribeirão Preto;Ribeirão Preto;SP;541.3;472.8;518.0;388.7;700.0
Ribeirão Preto;Ribeirão Preto;SP;463.8;455.3;336.4;410.3;600.0
Ribeirão Preto;Ribeirão Preto;SP;478.9;315.9;459.9;548.1;440.0
Ribeirão Preto;Ribeirão Preto;SP;416.6;589.7;580.6;669.8;620.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;569.9;651.2;607.0;564.8;660.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;386.4;535.2;447.8;414.6;640.0
Ribeirão Preto;Ribeirão Preto;SP;;357.1;346.6;;0.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;556.4;590.2;592.0;527.2;600.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;384.7;413.9;519.0;616.0;620.0
Ribeirão Preto;Ribeirão Preto;SP;;395.3;432.8;;400.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;432.4;362.9;409.6;415.0;220.0
Ribeirão Preto;Ribeirão Preto;SP;507.1;566.7;528.0;644.2;900.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;390.9;474.6;535.9;448.4;580.0
Ribeirão Preto;Ribeirão Preto;SP;594.1;574.2;552.3;658.9;540.0
Ribeirão Preto;Ribeirão Preto;SP;431.7;504.1;519.3;412.5;440.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;506.0;502.3;544.7;544.8;680.0
Ribeirão Preto;Ribeirão Preto;SP;448.3;442.6;433.4;483.3;600.0
Ribeirão Preto;Ribeirão Preto;SP;406.5;431.8;377.0;425.0;500.0
Ribeirão Preto;Ribeirão Preto;SP;387.3;417.7;434.7;463.5;660.0
Ribeirão Preto;Ribeirão Preto;SP;478.5;320.1;321.8;451.8;540.0
Ribeirão Preto;Ribeirão Preto;SP;404.9;529.3;607.4;506.7;820.0
Ribeirão Preto;Ribeirão Preto;SP;500.4;453.4;460.2;412.0;380.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;340.1;360.5;;400.0
Ribeirão Preto;Orlândia;SP;;555.9;559.5;;560.0
Ribeirão Preto;Ribeirão Preto;SP;476.1;518.5;523.3;374.2;620.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;478.1;424.9;433.4;418.8;340.0
Ribeirão Preto;Ribeirão Preto;SP;;446.2;416.7;;0.0
Ribeirão Preto;Ribeirão Preto;SP;387.1;450.6;486.4;397.6;580.0
Ribeirão Preto;Ribeirão Preto;SP;534.1;402.7;519.5;422.9;720.0
Ribeirão Preto;Orlândia;SP;;528.7;544.3;;540.0
Ribeirão Preto;Ribeirão Preto;SP;407.7;476.3;544.6;402.0;620.0
Ribeirão Preto;Ribeirão Preto;SP;452.0;546.9;585.8;573.7;680.0
Ribeirão Preto;Ribeirão Preto;SP;360.7;388.9;520.2;548.0;620.0
Ribeirão Preto;Ribeirão Pires;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;491.9;482.0;;0.0
Ribeirão Preto;Ribeirão Preto;SP;396.2;447.8;517.4;437.5;520.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;0.0;344.4;;0.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;445.3;616.3;558.6;584.3;960.0
Ribeirão Preto;Ribeirão Preto;SP;483.5;542.8;534.0;380.0;540.0
Ribeirão Preto;Ribeirão Preto;SP;525.7;511.2;524.5;440.3;720.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;467.0;497.7;535.9;474.1;540.0
Ribeirão Preto;Ribeirão Preto;SP;382.6;378.7;383.7;416.7;0.0
Ribeirão Preto;Ribeirão Preto;SP;381.4;471.7;475.5;473.0;0.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;444.8;528.9;553.3;527.6;740.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;552.9;570.6;570.2;630.6;600.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;428.3;400.4;490.8;411.4;600.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;532.0;607.9;634.9;543.0;720.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;420.1;501.9;534.7;460.9;520.0
Ribeirão Preto;Ribeirão Preto;SP;531.4;484.1;480.5;456.9;660.0
Ribeirão Preto;Ribeirão Preto;SP;538.5;506.5;583.6;493.7;580.0
Ribeirão Preto;Ribeirão Preto;SP;422.6;525.5;515.9;486.1;520.0
Ribeirão Preto;Ribeirão Preto;SP;;480.8;530.5;;480.0
Ribeirão Preto;Ribeirão Preto;SP;481.5;337.0;477.6;403.2;620.0
Ribeirão Preto;Ribeirão Preto;SP;;439.1;554.9;;540.0
Ribeirão Preto;Ribeirão Preto;SP;577.2;597.2;619.1;672.6;720.0
Ribeirão Preto;Ribeirão Preto;SP;498.0;386.4;492.6;405.9;460.0
Ribeirão Preto;Ribeirão Preto;SP;577.9;628.2;602.5;695.2;780.0
Ribeirão Preto;Ribeirão Preto;SP;384.0;359.8;462.1;424.4;340.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;523.5;508.2;513.1;503.6;780.0
Ribeirão Preto;Ribeirão Preto;SP;519.5;609.5;568.1;547.0;920.0
Ribeirão Preto;Ribeirão Preto;SP;555.2;545.0;537.2;676.9;820.0
Ribeirão Preto;Ribeirão Preto;SP;461.9;506.6;551.5;531.2;720.0
Ribeirão Preto;Ribeirão Preto;SP;427.9;524.6;526.5;468.0;480.0
Ribeirão Preto;Ribeirão Preto;SP;522.1;525.0;518.7;450.6;680.0
Ribeirão Preto;Ribeirão Preto;SP;;540.9;523.8;;0.0
Ribeirão Preto;Pirassununga;SP;540.7;568.4;552.1;640.6;720.0
Ribeirão Preto;Jardinópolis;SP;475.7;517.9;470.6;625.0;680.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;376.3;471.8;429.3;425.4;400.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;495.3;509.4;530.8;445.9;600.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;445.3;467.7;486.8;579.7;800.0
Ribeirão Preto;Ribeirão Preto;SP;473.1;464.0;517.2;422.3;680.0
Ribeirão Preto;Ribeirão Preto;SP;476.4;499.9;514.3;428.1;460.0
Ribeirão Preto;Ribeirão Preto;SP;;438.1;488.5;;680.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;523.6;596.9;575.5;629.7;720.0
Ribeirão Preto;Ribeirão Preto;SP;437.8;440.7;428.7;412.2;480.0
Ribeirão Preto;Ribeirão Preto;SP;443.1;529.5;544.1;550.3;560.0
Ribeirão Preto;Ribeirão Preto;SP;476.5;566.1;567.7;441.6;780.0
Ribeirão Preto;Ribeirão Preto;SP;;433.8;406.9;;0.0
Ribeirão Preto;Ribeirão Preto;SP;475.3;508.0;526.1;446.9;580.0
Ribeirão Preto;Ribeirão Preto;SP;587.6;537.3;579.0;561.3;620.0
Ribeirão Preto;Ribeirão Preto;SP;500.1;524.3;571.1;560.9;680.0
Ribeirão Preto;Ribeirão Preto;SP;428.1;463.8;482.9;397.1;560.0
Ribeirão Preto;Ribeirão Preto;SP;502.3;490.1;555.2;527.1;480.0
Ribeirão Preto;Ribeirão Preto;SP;412.9;479.3;306.9;475.5;520.0
Ribeirão Preto;Ribeirão Preto;SP;445.5;515.4;571.4;495.6;760.0
Ribeirão Preto;Ribeirão Preto;SP;448.5;595.0;549.1;582.6;620.0
Ribeirão Preto;Ribeirão Preto;SP;554.2;548.8;520.9;626.1;700.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;357.8;451.2;548.6;470.3;580.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;372.6;449.7;;780.0
Ribeirão Preto;Ribeirão Preto;SP;534.8;545.9;563.8;598.2;640.0
Ribeirão Preto;Ribeirão Preto;SP;535.1;611.1;577.7;492.5;520.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;366.5;424.0;;0.0
Ribeirão Preto;Ribeirão Preto;SP;471.5;565.7;519.2;547.0;560.0
Ribeirão Preto;Ribeirão Preto;SP;500.7;568.7;595.8;386.0;680.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;594.4;558.5;510.7;388.9;160.0
Ribeirão Preto;Ribeirão Preto;SP;438.3;458.7;455.4;473.0;780.0
Ribeirão Preto;Ribeirão Preto;SP;520.1;543.9;535.3;472.2;400.0
Ribeirão Preto;Ribeirão Preto;SP;444.5;504.8;569.9;542.9;620.0
Ribeirão Preto;Ribeirão Preto;SP;400.0;410.1;515.2;388.9;340.0
Ribeirão Preto;Ribeirão Preto;SP;537.9;469.6;527.5;574.6;560.0
Ribeirão Preto;Ribeirão Preto;SP;452.9;380.3;442.4;573.3;500.0
Ribeirão Preto;Ribeirão Preto;SP;472.5;515.9;508.2;457.8;480.0
Ribeirão Preto;Ribeirão Preto;SP;408.1;511.4;594.1;444.3;840.0
Ribeirão Preto;Ribeirão Preto;SP;538.5;596.6;588.9;590.2;680.0
Ribeirão Preto;Ribeirão Preto;SP;392.6;469.0;461.4;458.0;640.0
Ribeirão Preto;Ribeirão Preto;SP;444.1;467.6;504.8;434.8;600.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;418.6;505.2;520.4;424.8;640.0
Ribeirão Preto;Ribeirão Preto;SP;;456.9;509.8;;640.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;397.8;489.6;505.1;379.5;640.0
Ribeirão Preto;Ribeirão Preto;SP;558.8;544.4;561.5;590.0;680.0
Ribeirão Preto;Ribeirão Preto;SP;420.0;377.2;366.0;437.4;240.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;421.7;362.0;347.0;453.0;420.0
Ribeirão Preto;Ribeirão Preto;SP;462.1;556.1;536.5;595.6;660.0
Ribeirão Preto;Ribeirão Preto;SP;447.3;471.0;499.3;472.2;500.0
Ribeirão Preto;Orlândia;SP;557.3;625.6;572.0;468.0;620.0
Ribeirão Preto;Ribeirão Preto;SP;409.5;421.4;485.9;478.8;580.0
Ribeirão Preto;Ribeirão Preto;SP;552.1;490.1;463.3;573.1;560.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;514.8;524.7;562.5;441.7;680.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;476.5;499.5;511.0;513.4;660.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;454.1;523.0;524.7;547.9;620.0
Ribeirão Preto;Ribeirão Preto;SP;466.6;409.5;520.4;417.0;520.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;449.2;477.4;485.3;398.4;580.0
Ribeirão Preto;Ribeirão Preto;SP;468.2;425.2;499.3;549.5;720.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;535.3;511.6;551.9;565.8;600.0
Ribeirão Preto;Ribeirão Preto;SP;496.8;555.0;566.9;543.5;620.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;579.0;598.4;549.7;670.9;500.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;539.3;559.5;524.1;427.7;500.0
Ribeirão Preto;Ribeirão Preto;SP;472.4;525.4;509.2;415.2;460.0
Ribeirão Preto;Ribeirão Preto;SP;379.9;534.5;501.9;478.3;780.0
Ribeirão Preto;Ribeirão Preto;SP;511.5;487.2;518.0;498.2;400.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;491.9;522.4;583.1;457.2;780.0
Ribeirão Preto;Ribeirão Preto;SP;521.2;549.7;565.0;557.0;720.0
Ribeirão Preto;Ribeirão Preto;SP;545.4;309.1;480.9;424.5;0.0
Ribeirão Preto;Ribeirão Preto;SP;481.4;482.3;445.2;431.2;560.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;556.9;731.5;618.0;489.0;680.0
Ribeirão Preto;Ribeirão Preto;SP;506.7;484.3;516.6;527.2;560.0
Ribeirão Preto;Ribeirão Preto;SP;536.1;499.1;536.9;592.4;600.0
Ribeirão Preto;Ribeirão Preto;SP;369.3;383.2;356.1;422.9;280.0
Ribeirão Preto;Ribeirão Preto;SP;450.6;455.1;522.7;496.1;800.0
Ribeirão Preto;Ribeirão Preto;SP;562.2;589.3;549.6;581.4;740.0
Ribeirão Preto;Ribeirão Preto;SP;384.6;548.7;552.9;439.0;640.0
Ribeirão Preto;Ribeirão Preto;SP;;535.1;537.7;;660.0
Ribeirão Preto;Ribeirão Preto;SP;;425.6;492.2;;400.0
Ribeirão Preto;Ribeirão Preto;SP;383.5;451.6;530.5;384.6;580.0
Ribeirão Preto;Ribeirão Preto;SP;490.2;588.4;560.7;604.3;680.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;485.9;421.3;477.9;521.3;260.0
Ribeirão Preto;Ribeirão Preto;SP;531.2;522.2;600.4;451.5;460.0
Ribeirão Preto;Ribeirão Preto;SP;380.9;349.4;500.1;393.3;520.0
