municipio_escola;municipio_prova;uf_prova;nota_ciencias_natureza;nota_ciencias_humanas;nota_linguagens_codigos;nota_matematica;nota_redacao
Ribeirão Preto;Ribeirão Preto;SP;514.5;542.0;471.2;585.7;860.0
Ribeirão Preto;Ribeirão Preto;SP;627.5;700.9;620.2;728.1;940.0
Ribeirão Preto;Ribeirão Preto;SP;556.3;574.3;574.5;570.4;880.0
Ribeirão Preto;Ribeirão Preto;SP;681.9;723.1;648.2;763.4;860.0
Ribeirão Preto;Ribeirão Preto;SP;;;;;
Ribeirão Preto;Ribeirão Preto;SP;572.4;348.4;421.2;481.5;600.0
Ribeirão Preto;Ribeirão Preto;SP;485.4;628.3;584.3;585.4;920.0
Ribeirão Preto;Ribeirão Preto;SP;640.4;649.8;603.4;756.1;900.0
Ribeirão Preto;Ribeirão Preto;SP;448.9;569.7;590.1;561.6;880.0
Ribeirão Preto;Ribeirão Preto;SP;653.6;708.0;656.8;820.1;940.0
Ribeirão Preto;São Paulo;SP;489.3;615.6;515.1;632.6;720.0
Ribeirão Preto;Ribeirão Preto;SP;604.6;628.1;551.9;744.5;840.0
Ribeirão Preto;Ribeirão Preto;SP;636.9;703.6;712.7;731.6;880.0
Ribeirão Preto;Ribeirão Preto;SP;615.8;649.9;582.1;739.7;900.0
Ribeirão Preto;Ribeirão Preto;SP;621.8;580.7;592.0;700.3;800.0
Ribeirão Preto;Ribeirão Preto;SP;608.8;670.9;661.1;678.2;880.0
Ribeirão Preto;Ribeirão Preto;SP;676.6;606.8;551.9;608.3;920.0
Ribeirão Preto;Ribeirão Preto;SP;578.1;572.2;584.2;617.0;820.0
Ribeirão Preto;Ribeirão Preto;SP;606.9;593.5;560.6;634.9;880.0
Ribeirão Preto;Ribeirão Preto;SP;694.7;705.3;603.2;764.3;940.0
Ribeirão Preto;Ribeirão Preto;SP;552.2;560.0;570.7;629.7;860.0
Ribeirão Preto;Ribeirão Preto;SP;647.5;668.1;607.8;633.4;660.0
Ribeirão Preto;Ribeirão Preto;SP;569.9;646.5;586.6;583.3;880.0
Ribeirão Preto;Ribeirão Preto;SP;676.6;729.9;643.5;784.8;940.0
Ribeirão Preto;Ribeirão Preto;SP;533.1;577.1;586.3;774.6;880.0
Ribeirão Preto;Ribeirão Preto;SP;416.8;525.7;539.4;524.7;940.0
Ribeirão Preto;Ribeirão Preto;SP;457.5;509.5;439.6;600.8;660.0
Ribeirão Preto;Ribeirão Preto;SP;644.3;677.4;615.4;729.6;920.0
Ribeirão Preto;Ribeirão Preto;SP;576.0;584.7;550.5;675.8;920.0
Ribeirão Preto;Ribeirão Preto;SP;500.5;536.0;518.8;630.0;880.0
Ribeirão Preto;Ribeirão Preto;SP;696.0;649.1;609.8;798.5;940.0
Ribeirão Preto;Ribeirão Preto;SP;521.2;582.8;582.3;672.7;940.0
Ribeirão Preto;Ribeirão Preto;SP;640.1;655.8;575.1;747.1;920.0
Ribeirão Preto;Ribeirão Preto;SP;576.5;596.7;586.2;640.8;960.0
Ribeirão Preto;Passos;MG;;;;;
Ribeirão Preto;Ribeirão Preto;SP;513.2;579.8;558.0;540.5;920.0
Ribeirão Preto;Ribeirão Preto;SP;543.0;488.3;503.7;553.1;800.0
Ribeirão Preto;Ribeirão Preto;SP;732.9;746.3;623.9;828.7;900.0
Ribeirão Preto;Batatais;SP;537.9;570.6;568.1;615.8;960.0
Ribeirão Preto;Ribeirão Preto;SP;528.3;599.0;585.5;684.2;920.0
Ribeirão Preto;Ribeirão Preto;SP;606.3;659.1;565.4;644.6;960.0
Ribeirão Preto;Ribeirão Preto;SP;477.2;605.6;562.8;499.6;720.0
Ribeirão Preto;Ribeirão Preto;SP;643.8;703.9;611.4;811.8;840.0
Ribeirão Preto;Ribeirão Preto;SP;645.4;667.2;599.3;779.2;900.0
Ribeirão Preto;Ribeirão Preto;SP;535.1;593.2;596.2;643.4;880.0
Ribeirão Preto;Ribeirão Preto;SP;627.7;721.8;607.0;735.7;900.0
Ribeirão Preto;Ribeirão Preto;SP;507.7;512.2;584.0;606.7;860.0
Ribeirão Preto;Ribeirão Preto;SP;570.7;533.1;561.6;625.2;880.0
Ribeirão Preto;Ribeirão Preto;SP;572.9;604.8;605.1;718.2;900.0
