municipio_escola;municipio_prova;uf_prova;nota_ciencias_natureza;nota_ciencias_humanas;nota_linguagens_codigos;nota_matematica;nota_redacao
São Paulo;São Paulo;SP;526.3;525.9;465.2;499.3;600.0
São Paulo;São Paulo;SP;495.9;507.8;419.2;483.4;660.0
São Paulo;São Paulo;SP;582.9;513.0;556.6;541.1;700.0
São Paulo;São Paulo;SP;522.0;509.8;514.0;556.1;520.0
São Paulo;São Paulo;SP;;;;;
São Paulo;São Paulo;SP;539.9;546.1;571.7;591.1;660.0
São Paulo;São Paulo;SP;553.4;591.2;584.2;524.7;680.0
São Paulo;São Paulo;SP;637.5;639.8;635.9;754.8;860.0
São Paulo;São Paulo;SP;576.7;629.5;591.2;548.9;560.0
São Paulo;São Paulo;SP;568.8;566.0;588.7;452.1;0.0
São Paulo;São Paulo;SP;485.7;433.9;545.8;384.0;460.0
São Paulo;São Paulo;SP;524.2;475.8;549.3;609.8;600.0
São Paulo;São Paulo;SP;549.4;573.3;551.2;449.5;760.0
São Paulo;São Paulo;SP;495.2;576.3;570.3;490.0;780.0
São Paulo;São Paulo;SP;478.0;592.8;590.2;472.7;660.0
São Paulo;São Paulo;SP;421.9;479.6;500.7;513.3;660.0
São Paulo;São Paulo;SP;575.3;570.6;562.4;587.1;600.0
São Paulo;São Paulo;SP;519.8;427.0;541.6;691.0;700.0
São Paulo;São Paulo;SP;533.1;558.0;549.2;504.3;780.0
São Paulo;São Paulo;SP;572.8;554.6;563.3;666.0;860.0
São Paulo;São Paulo;SP;532.7;366.5;444.5;396.5;480.0
São Paulo;São Paulo;SP;511.9;519.5;604.6;611.7;840.0
São Paulo;São Paulo;SP;;;;;
São Paulo;São Paulo;SP;430.1;492.0;475.9;396.1;720.0
São Paulo;São Paulo;SP;361.2;493.4;522.2;489.1;740.0
São Paulo;São Paulo;SP;551.6;574.2;527.0;551.8;720.0
São Paulo;São Paulo;SP;461.4;408.5;483.5;393.1;560.0
São Paulo;São Paulo;SP;563.0;438.1;527.3;478.5;760.0
